"Language Packs","Sprachpakete"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Achtung: Ihr Locale Pack passt nicht zur installierten Magento Version. Für mehr Information klicken Sie <a href='%s'>hier</a>."
"Austria","Österreich"
"Switzerland","der Schweiz"
"Germany","Deutschland"
"Luxembourg","Luxemburg"
"German (Austria)","Deutsch (Österreich)"
"German (Switzerland)","Deutsch (Schweiz)"
"German (Germany)","Deutsch (Deutschland)"
"German (Luxembourg)","Deutsch (Luxemburg)"
"German (Custom)","Deutsch (Benutzerdefiniert)"
"German language package de_AT - Community Edition (CE)","Deutsches Sprachpaket de_AT - Community Edition (CE)"
"German language package de_CH - Community Edition (CE)","Deutsches Sprachpaket de_CH - Community Edition (CE)"
"German language package de_DE - Community Edition (CE)","Deutsches Sprachpaket de_DE - Community Edition (CE)"
"German language package de_LU - Community Edition (CE)","Deutsches Sprachpaket de_LU - Community Edition (CE)"
"German language package de_ZZ - Community Edition (CE)","Deutsches Sprachpaket de_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Das Sprachpaket <span style='color:red'>%s</span> in der Version <span style='color:red'>%s</span> wurde erfolgreich installiert."
"On the <a href='%s'>Magento Connect page of the German language pack</a>, you can find more information on the latest versions.","Auf der <a href='%s'>Magento-Connect-Seite des deutschen Sprachpakets</a> finden Sie weitere Informationen zu aktuellen Versionen."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Für Interessierte steht ein <a href='%s'>GitHub-Repository</a> zur Verfügung. Es ist für die folgenden Zwecke vorgesehen"
"Development of current language pack versions","Entwicklung aktueller Sprachpaket-Versionen"
"Report an error / send in patches, also happy for both published releases","Fehler melden/Patches einsenden, auch gerne für bereits veröffentlichte Releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (unabhängig der offiziellen Quellen)"
"Copy / forks for their own purposes","Kopieren/Forken für eigene Zwecke"
"Active participation in the language pack","Aktives Mitwirken am Sprachpaket"
"View Preview versions & test","Vorschau-Versionen ansehen & testen"
"Note for detailed information, the README file on the GitHub page.","Beachten Sie für detaillierte Informationen die README-Datei auf der GitHub-Seite."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Um Magento flächendeckend übersetzen zu können, beachten Sie bitte auch die Infos in den unteren Bereichen!"
"powered by","bereitgestellt von"
"and","und"
"Translate Magento Connect Manager","Magento Connect Manager übersetzen"
"To install the translation for the Magento Connect Manager, proceed as follows:","Um die Übersetzung für den Magento Connect Manager zu installieren, gehen Sie bitte wie folgt vor:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","In Ihrem Magento-Hauptverzeichnis im Unterordner ""%s"" den Ordner ""%s"" umbenennen in ""%s""."
"The directory","Das Verzeichnis"
"or","bzw."
"from","von"
"rename into ""template""","in ""template"" umbenennen"
"The Magento Connect Manager should be changed to German now.","Der Magento Connect Manager sollte jetzt auf <span style='color:red'>deutsch</span> umgestellt sein."
"Please note:","Bitte beachten:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","Wenn Magento aktualisiert wird, insbesondere das Modul ""Mage_Downloader"", werden die Einstellungen des Connect Managers überschrieben!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","Gleiches gilt auch für den TinyMCE-Editor. Führen Sie in dem Fall ein ""Reinstall"" des Sprachpakets durch und wiederholen die geschilderten Schritte."
"Using your own translations","Eigene Übersetzungen nutzen"
"Recommended extensions","Empfohlene Erweiterungen"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Das installierte Sprachpaket liefert lediglich Übersetzungen der in Magento vorhandenen Texte. Wenn Sie Ihren Magento Shop auf die rechtlichen Anforderungen in %s vorbereiten oder um verbreitete Zahlungsarten erweitern möchten, dann empfehlen wir Ihnen zusätzlich folgende Erweiterungen zu installieren."
"Specific market adjustment for","Spezifische Marktanpassung für"
"Austrian and European stores","Österreichische und Europäische Shops"
"Swiss and European stores","Schweizerische und Europäische Shops"
"German and European stores","Deutsche und Europäische Shops"
"Luxembourg and European stores","Luxemburgische und Europäische Shops"
"Preconfigured for the Austrian market","Vorkonfiguriert für den Österreichischen Markt"
"Preconfigured for the Swiss market","Vorkonfiguriert für den Schweizer Markt"
"Preconfigured for the German market","Vorkonfiguriert für den deutschen Markt"
"Currently not available","Derzeit nicht verfügbar"
"Common payment methods","Verbreitete Zahlungsarten"
"Debit / direct debit","Bankeinzug/Lastschrift"
"Cash On Delivery","Nachnahme"
"Payment in Advance","Vorkasse"
"Extension Key for the","Erweiterungsschlüssel für den"
"on","auf"
"custom stores","benutzerdefinierte Läden"
"This is your individual language pack that is only managed and maintained by you.","Dies ist Ihr ganz persönliches Sprachpaket, das nur von Ihnen verwaltet und gepflegt wird."
"Adjust the file ""%s"" with your name and the link to your website.","Passen Sie die Datei ""%s"" mit Ihrem Namen und dem Link zu Ihrer Webseite an."
"Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations.","Füllen Sie die Sprachdateien in ""app/locale/de_ZZ"" mit Ihren eigenen Übersetzungen und verlieren Sie so nie wieder Ihre Anpassungen."
