"Access denied.","Zugang verweigert."
"Can not find webservice adapter.","Webservice-Adapter wurde nicht gefunden."
"Client Session Timeout (sec.)","Zeitüberschreitung bei der Kundensitzung (Sek.)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","E-Mail"
"Enable WSDL Cache","WSDL-Cache aktivieren"
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice-Adapter angegeben."
"Invalid webservice handler specified.","Ungültiger Webservice-Handler angegeben."
"Magento Core API","Magento Core-API"
"Magento Core API Section","Magento Core-API-Sektion"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Gruppenberechtigungen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Benutzer"
"Unable to login.","Login fehlgeschlagen."
"User Name","Benutzername"
"WS-I Compliance","WS-I Konformität"
"Web Services","Webdienste"
"Web Services Configuration","Konfiguration der Webdienste"
"Web Services definition files (api.xml).","Webdienste-Definitionsdateien (api.xml)."
"Web Services definition files (api2.xml).","Webdienste-Definitionsdateien (api2.xml)."
"Your account has been deactivated.","Ihr Kundenkonto wurde deaktiviert."
