"Active","Aktiv"
"Add Attribute Mapping","Attribut-Zuordnung hinzufügen"
"Add New Attribute","Neues Attribut"
"Add to Google Base","Zu Google Merchant Center hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attribute","Attribut"
"Attribute Set","Attributset"
"Attribute Set and Item Type","Attributset und Artikeltyp"
"Attributes","Attribute"
"Attributes Mapping","Attribut-Zuordnung"
"Attributes Set","Attributset"
"AuthSub","AuthSub"
"Available Products","Verfügbare Artikel"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Basiswährung sollte auf %s für %s in der Systemkonfiguration eingestellt werden. Andernfalls werden die Preise nicht korrekt an Google Merchant Center übergeben."
"Cannot update Google Base Item for Store '%s'","Artikel aus '%s' kann nicht im Google Merchant Center aktualisiert werden"
"Captcha confirmation error: %s","Captcha Bestätigungsfehler: %s"
"Captcha has been confirmed.","Captcha wurde bestätigt."
"Catalog","Katalog"
"Clicks","Klicks"
"ClientLogin","Kunden-Login"
"Confirm","Bestätigen"
"Current Mapping will be reloaded. Continue?","Aktuelle Zuordnung wird neugeladen. Fortfahren?"
"Custom attribute, no mapping","Kundenspezifisches Attribut, keine Zuordnung"
"Delete","Löschen"
"Delete Mapping","Zuordnung löschen"
"Edit Item Type","Artikeltyp ändern"
"Edit Item Type ""%s""","Artikeltyp ""%s"" ändern"
"Error: %s","Fehler: %s"
"Expires","Läuft aus"
"Google","Google"
"Google Base","Google Merchant Center (GMC)"
"Google Base Attribute","GMC Attribut"
"Google Base ID","Google Merchant Center ID"
"Google Base Item Type","GMC Artikeltyp"
"Google Base Item type","GMC Artikeltyp"
"Google Base Items","GMC Artikel"
"Google base","Google Merchant Center (GMC)"
"Hide","Verstecken"
"Hosted","gehostet/verwaltet"
"Hosted or Google","gehostet oder Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ungültiges Artikel-Modell für Google Merchant Center-Artikel"
"Item Type was deleted","Artikeltyp wurde gelöscht"
"Item Types","Artikeltypen"
"Item model is not specified to delete Google Base entry.","Artikel-Modell kann im Google Merchant Center keine Einträge löschen."
"Items","Artikel"
"Manage Attribute Mapping","Attribut-Zuordnungen verwalten"
"Manage Attributes","Attribute verwalten"
"Manage Items","Artikel verwalten"
"New Item Type","Neue Artikelart"
"New ItemType","Neue Artikelart"
"No","Nein"
"No items were deleted from Google Base","Keine Artikel wurden aus Google Merchant Center gelöscht."
"No items were published","Keine Artikel wurden veröffentlicht."
"No items were saved as inactive items","Keine Artikel wurden als inaktive Artikel gespeichert."
"No products were added to Google Base","Keine Artikel wurden zu Google Merchant Center hinzugefügt."
"Object model is not specified to save Google Base entry.","Objekt-Modell kann Google Merchant Center-Einträge nicht speichern."
"Please, select Attribute Set and Google Item Type to load attributes","Bitte wählen Sie ein Attributset und einen GMC-Artikeltyp zum Laden der Attribute."
"Product Name","Artikelname"
"Publish","Veröffentlichen"
"Published","Veröffentlicht"
"Remove","Entfernen"
"Save Mapping","Zuordnung speichern"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Die Sitzung ist während des Exports abgelaufen. Bitte prüfen Sie die exportierten Artikel und wiederholen Sie den Vorgang falls nötig."
"Synchronize","Synchronisieren"
"Target Country","Zielland"
"The item type has been saved.","Die Artikelart wurde gespeichert."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Diese Aktion wird die Artikelstatistik aktualisieren und Elemente entfernen, die nicht auf Google Merchant Center vorhanden sind. Fortfahren?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Insgesamt wurden %d Artikel gelöscht; insgesamt wurden %d Artikel aktualisiert."
"Total of %d items(s) have been published.","Insgesamt wurden %d Artikel veröffentlicht."
"Total of %d items(s) have been removed from Google Base.","Insgesamt wurden %d Artikel aus dem Google Merchant Center entfernt."
"Total of %d items(s) have been saved as inactive items.","Insgesamt wurden %d Artikel als inaktiv gespeichert."
"Total of %d product(s) have been added to Google Base.","%d Artikel wurden erfolgreich zu Google Merchant Center hinzugefügt."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Fehler bei der Verbindung zu Google Merchant Center. Bitte prüfen Sie die Zugangsdaten in der Systemkonfiguration."
"Unable to select a Store View.","Store View konnte nicht ausgewählt werden."
"View Available Products","Verfügbare Artikel anzeigen"
"View Item in Google Base","Artikel im Google Merchant Center anzeigen"
"Yes","Ja"
